Date,Product,Units Sold,Revenue
2025-01-05,Notebook,120,2400
2025-01-12,Pen,300,450
2025-02-03,Notebook,150,3000
2025-02-10,Marker,200,1000
2025-03-01,Notebook,180,3600
2025-03-15,Pen,250,375
2025-04-02,Marker,220,1100
2025-04-18,Notebook,200,4000
2025-05-05,Pen,280,420
2025-05-20,Marker,190,950
2025-06-01,Notebook,210,4200
2025-06-15,Pen,310,465
2025-07-03,Marker,230,1150
2025-07-20,Notebook,240,4800
2025-08-05,Pen,320,480
2025-08-22,Marker,210,1050
2025-09-01,Notebook,260,5200
2025-09-18,Pen,330,495
2025-10-03,Marker,240,1200
2025-10-20,Notebook,270,5400
2025-11-05,Pen,340,510
2025-11-22,Marker,250,1250
2025-12-01,Notebook,280,5600
2025-12-15,Pen,350,525
